ESTACION,MES,HORA,VEL
Estacion2,3,16,2.1265454545454543
Estacion2,3,17,1.8156028368794315
Estacion2,3,18,1.2539855072463766
Estacion2,3,19,0.9634057971014494
Estacion2,3,20,0.8268115942028982
Estacion2,3,21,0.7851301115241633
Estacion2,3,22,0.7278985507246376
Estacion2,3,23,0.6978260869565216
Estacion2,4,0,0.655718475073314
Estacion2,4,1,0.6581818181818178
Estacion2,4,2,0.6620370370370371
Estacion2,4,3,0.6505952380952387
Estacion2,4,4,0.6428571428571427
Estacion2,4,5,0.6222222222222227
Estacion2,4,6,0.5692982456140352
Estacion2,4,7,0.569345238095238
Estacion2,4,8,0.816666666666667
Estacion2,4,9,1.1437853107344633
Estacion2,4,10,1.435593220338983
Estacion2,4,11,1.6254385964912277
Estacion2,4,12,1.7706744868035202
Estacion2,4,13,1.844545454545453
Estacion2,4,14,1.766369047619048
Estacion2,4,15,1.785493827160492
Estacion2,4,16,1.5991202346041054
Estacion2,4,17,1.3595238095238091
Estacion2,4,18,1.076149425287357
Estacion2,4,19,0.9267241379310351
Estacion2,4,20,0.8752873563218395
Estacion2,4,21,0.8229166666666669
Estacion2,4,22,0.7269696969696973
Estacion2,4,23,0.7038011695906432
Estacion2,5,0,0.6634743875278395
Estacion2,5,1,0.6484018264840179
Estacion2,5,2,0.64233409610984
Estacion2,5,3,0.6212328767123293
Estacion2,5,4,0.6501160092807429
Estacion2,5,5,0.6596658711217186
Estacion2,5,6,0.5986111111111114
Estacion2,5,7,0.6585882352941175
Estacion2,5,8,0.9478571428571427
Estacion2,5,9,1.2649411764705882
Estacion2,5,10,1.5412037037037039
Estacion2,5,11,1.6347619047619062
Estacion2,5,12,1.6219047619047622
Estacion2,5,13,1.744444444444445
Estacion2,5,14,1.6874141876430198
Estacion2,5,15,1.545794392523365
Estacion2,5,16,1.4536529680365284
Estacion2,5,17,1.167294117647059
Estacion2,5,18,0.9565315315315328
Estacion2,5,19,0.8365296803652982
Estacion2,5,20,0.7954954954954954
Estacion2,5,21,0.7453333333333336
Estacion2,5,22,0.6772727272727278
Estacion2,5,23,0.6584269662921348
Estacion2,6,0,0.6446575342465752
Estacion2,6,1,0.6523415977961434
Estacion2,6,2,0.6628415300546449
Estacion2,6,3,0.623055555555556
Estacion2,6,4,0.6290322580645162
Estacion2,6,5,0.6065573770491807
Estacion2,6,6,0.5948924731182794
Estacion2,6,7,0.6367567567567576
Estacion2,6,8,0.8454301075268822
Estacion2,6,9,1.234166666666667
Estacion2,6,10,1.4049999999999991
Estacion2,6,11,1.594084507042253
Estacion2,6,12,1.705277777777777
Estacion2,6,13,1.8106628242074934
Estacion2,6,14,1.8092219020172906
Estacion2,6,15,1.5867052023121393
Estacion2,6,16,1.4002923976608181
Estacion2,6,17,1.1316666666666666
Estacion2,6,18,0.9423497267759567
Estacion2,6,19,0.8038461538461542
Estacion2,6,20,0.769672131147541
Estacion2,6,21,0.731073446327684
Estacion2,6,22,0.7279661016949155
Estacion2,6,23,0.6810584958217267
Estacion2,7,0,0.6265625
Estacion2,7,1,0.6140624999999995
Estacion2,7,2,0.6150537634408602
Estacion2,7,3,0.6609375000000002
Estacion2,7,4,0.5734375000000002
Estacion2,7,5,0.6244791666666668
Estacion2,7,6,0.5865591397849466
Estacion2,7,7,0.6966666666666671
Estacion2,7,8,0.9844086021505376
Estacion2,7,9,1.2994791666666672
Estacion2,7,10,1.6078125000000008
Estacion2,7,11,1.6903225806451603
Estacion2,7,12,1.7070707070707067
Estacion2,7,13,1.8286458333333335
Estacion2,7,14,1.7934343434343447
Estacion2,7,15,1.5302083333333332
Estacion2,7,16,1.3837696335078529
Estacion2,7,17,1.2135416666666667
Estacion2,7,18,0.9203045685279186
Estacion2,7,19,0.8068627450980393
Estacion2,7,20,0.7885416666666668
Estacion2,7,21,0.7182291666666666
Estacion2,7,22,0.6803030303030306
Estacion2,7,23,0.6697916666666669
Estacion2,8,0,0.6938547486033517
Estacion2,8,1,0.6921100917431194
Estacion2,8,2,0.6958801498127343
Estacion2,8,3,0.6956043956043949
Estacion2,8,4,0.7023809523809522
Estacion2,8,5,0.6999999999999998
Estacion2,8,6,0.6686813186813182
Estacion2,8,7,0.6746296296296296
Estacion2,8,8,0.8926829268292688
Estacion2,8,9,1.2043956043956037
Estacion2,8,10,1.5463369963369966
Estacion2,8,11,1.777962962962961
Estacion2,8,12,1.7778388278388269
Estacion2,8,13,1.951449275362316
Estacion2,8,14,1.9387640449438193
Estacion2,8,15,1.7697463768115946
Estacion2,8,16,1.5339517625231913
Estacion2,8,17,1.2466666666666673
Estacion2,8,18,0.9472222222222223
Estacion2,8,19,0.9159709618874776
Estacion2,8,20,0.8668498168498178
Estacion2,8,21,0.8344954128440369
Estacion2,8,22,0.794746376811594
Estacion2,8,23,0.7588768115942027
Estacion2,9,0,0.7614879649890591
Estacion2,9,1,0.7337662337662343
Estacion2,9,2,0.7356837606837606
Estacion2,9,3,0.7188034188034192
Estacion2,9,4,0.7284444444444449
Estacion2,9,5,0.7155251141552512
Estacion2,9,6,0.6669014084507049
Estacion2,9,7,0.6006756756756763
Estacion2,9,8,0.790786516853932
Estacion2,9,9,1.0966216216216218
Estacion2,9,10,1.4781385281385289
Estacion2,9,11,1.6920000000000015
Estacion2,9,12,1.7918859649122805
Estacion2,9,13,1.7536036036036051
Estacion2,9,14,1.6251141552511414
Estacion2,9,15,1.594956140350876
Estacion2,9,16,1.431278538812785
Estacion2,9,17,1.1659999999999993
Estacion2,9,18,1.018018018018018
Estacion2,9,19,0.9745370370370365
Estacion2,9,20,0.9322072072072078
Estacion2,9,21,0.8810502283105027
Estacion2,9,22,0.8209459459459459
Estacion2,9,23,0.8060000000000005
Estacion2,10,0,0.7954430379746841
Estacion2,10,1,0.7644278606965169
Estacion2,10,2,0.7475578406169667
Estacion2,10,3,0.7623737373737381
Estacion2,10,4,0.7585858585858579
Estacion2,10,5,0.7553030303030299
Estacion2,10,6,0.6626262626262625
Estacion2,10,7,0.5840796019900498
Estacion2,10,8,0.777696078431372
Estacion2,10,9,1.1539800995024871
Estacion2,10,10,1.6691176470588243
Estacion2,10,11,1.8048717948717936
Estacion2,10,12,1.846323529411766
Estacion2,10,13,1.9840796019900482
Estacion2,10,14,2.01078431372549
Estacion2,10,15,1.8433823529411775
Estacion2,10,16,1.5840294840294833
Estacion2,10,17,1.1884803921568632
Estacion2,10,18,1.032843137254903
Estacion2,10,19,0.9135897435897434
Estacion2,10,20,0.9338541666666665
Estacion2,10,21,0.8428205128205125
Estacion2,10,22,0.8282828282828286
Estacion2,10,23,0.7916666666666665
Estacion2,11,0,0.7175287356321837
Estacion2,11,1,0.7068965517241378
Estacion2,11,2,0.7646551724137935
Estacion2,11,3,0.7864942528735633
Estacion2,11,4,0.7824712643678163
Estacion2,11,5,0.8097701149425286
Estacion2,11,6,0.6847701149425289
Estacion2,11,7,0.6148809523809532
Estacion2,11,8,0.8839080459770116
Estacion2,11,9,1.2471264367816088
Estacion2,11,10,1.4956896551724135
Estacion2,11,11,1.8673590504451034
Estacion2,11,12,2.1301169590643267
Estacion2,11,13,2.1403508771929842
Estacion2,11,14,2.064619883040936
Estacion2,11,15,1.9163742690058483
Estacion2,11,16,1.7485380116959068
Estacion2,11,17,1.247214076246335
Estacion2,11,18,0.942397660818713
Estacion2,11,19,0.798830409356725
Estacion2,11,20,0.7997023809523811
Estacion2,11,21,0.811607142857143
Estacion2,11,22,0.7736842105263156
Estacion2,11,23,0.7245614035087724
Estacion2,12,0,0.8069892473118281
Estacion2,12,1,0.7586021505376346
Estacion2,12,2,0.7338709677419353
Estacion2,12,3,0.7516129032258058
Estacion2,12,4,0.7502702702702704
Estacion2,12,5,0.7333333333333335
Estacion2,12,6,0.6843243243243242
Estacion2,12,7,0.5967741935483873
Estacion2,12,8,0.7043010752688172
Estacion2,12,9,1.1198924731182796
Estacion2,12,10,1.6209677419354835
Estacion2,12,11,1.8306451612903232
Estacion2,12,12,2.0354838709677425
Estacion2,12,13,2.2946236559139797
Estacion2,12,14,2.356989247311827
Estacion2,12,15,2.216666666666667
Estacion2,12,16,2.1139784946236566
Estacion2,12,17,1.6440860215053767
Estacion2,12,18,1.2064516129032268
Estacion2,12,19,0.9860215053763438
Estacion2,12,20,0.8973118279569896
Estacion2,12,21,0.9220430107526879
Estacion2,12,22,0.8188172043010752
Estacion2,12,23,0.7758064516129032
Estacion3,1,0,0.7207106598984772
Estacion3,1,1,0.7122509960159349
Estacion3,1,2,0.7237713139418256
